n-plet	method	O-information	alpha	beta	gamma
Z00-Z01-X1-X2-X3-X4-X5	NPEET	8.813551056368448	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	4.996178817749024	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	9.35932947549448	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	11.461096027611589	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	6.544536352157593	0.1	0.6	0.1
X1-X2-X3	GCMI	1.6685501765365955	0.1	0.7	0.1
X1-X2-X3	NPEET	1.70370126283279	0.1	0.7	0.1
X1-X2-X3	THOI	1.15645512342453	0.1	0.7	0.1
X1-X2-X3-X4	GCMI	3.28211691324704	0.1	0.7	0.1
X1-X2-X3-X4	NPEET	3.5811785687079514	0.1	0.7	0.1
X1-X2-X3-X4	THOI	2.3095813035964965	0.1	0.7	0.1
X1-X2-X3-X4-X5	GCMI	5.469283696770389	0.1	0.7	0.1
X1-X2-X3-X4-X5	NPEET	6.030662626545724	0.1	0.7	0.1
X1-X2-X3-X4-X5	THOI	3.8322320222854613	0.1	0.7	0.1
X1-X2-X3-X4-X5-X6	GCMI	7.5908425400724555	0.1	0.7	0.1
X1-X2-X3-X4-X5-X6	NPEET	8.408888914765598	0.1	0.7	0.1
X1-X2-X3-X4-X5-X6	THOI	5.2994513511657715	0.1	0.7	0.1
Z00-Z01-X1-X2-X3	GCMI	3.822915740779758	0.1	0.7	0.1
Z00-Z01-X1-X2-X3	NPEET	4.287656051399444	0.1	0.7	0.1
Z00-Z01-X1-X2-X3	THOI	2.6499592781066896	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	5.568630281861162	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	6.905491553108694	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4	THOI	3.897443342208862	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	7.975681951155353	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	9.779579403400891	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	5.570509672164917	0.1	0.7	0.1
