n-plet	method	O-information	alpha	beta
X1-X4-X5-X6	NPEET	0.5134634386008603	0.1	1.0
X1-X4-X5-X6	THOI	-1.48773193359375e-05	0.1	1.0
X2-X3-X6	GCMI	0.009798100078246108	0.1	1.0
X2-X3-X6	NPEET	-0.12898841253733567	0.1	1.0
X2-X3-X6	THOI	0.0067729949951171875	0.1	1.0
X4-X5-X6	GCMI	8.102959480282834e-07	0.1	1.0
X4-X5-X6	NPEET	0.31160660471684415	0.1	1.0
X4-X5-X6	THOI	-1.86920166015625e-05	0.1	1.0
X1-X2-X3-X6	GCMI	0.00014808650454938287	0.2	0.1
X1-X2-X3-X6	NPEET	-0.013676145422385844	0.2	0.1
X1-X2-X3-X6	THOI	0.00010137557983398437	0.2	0.1
X1-X4-X5-X6	GCMI	1.978344210584737e-06	0.2	0.1
X1-X4-X5-X6	NPEET	0.5431408174931629	0.2	0.1
X1-X4-X5-X6	THOI	4.863739013671875e-06	0.2	0.1
X2-X3-X6	GCMI	0.0001577880164555623	0.2	0.1
X2-X3-X6	NPEET	-0.010914697298101749	0.2	0.1
X2-X3-X6	THOI	0.00010938644409179688	0.2	0.1
X4-X5-X6	GCMI	4.802336942333341e-07	0.2	0.1
X4-X5-X6	NPEET	0.3259333816685265	0.2	0.1
X4-X5-X6	THOI	1.9073486328125e-06	0.2	0.1
X1-X2-X3-X6	GCMI	0.001087610675040196	0.2	0.2
X1-X2-X3-X6	NPEET	-0.005468444958554386	0.2	0.2
X1-X2-X3-X6	THOI	0.0007501602172851563	0.2	0.2
X1-X4-X5-X6	GCMI	5.151650157131372e-07	0.2	0.2
X1-X4-X5-X6	NPEET	0.5465984059985974	0.2	0.2
X1-X4-X5-X6	THOI	8.58306884765625e-07	0.2	0.2
X2-X3-X6	GCMI	0.0011070313223658702	0.2	0.2
X2-X3-X6	NPEET	-0.015491272848253423	0.2	0.2
X2-X3-X6	THOI	0.0007630348205566406	0.2	0.2
X4-X5-X6	GCMI	2.306926912609697e-07	0.2	0.2
X4-X5-X6	NPEET	0.34100269257439636	0.2	0.2
X4-X5-X6	THOI	2.86102294921875e-07	0.2	0.2
X1-X2-X3-X6	GCMI	0.0023355471789038517	0.2	0.30000000000000004
X1-X2-X3-X6	NPEET	-0.01270022723461608	0.2	0.30000000000000004
X1-X2-X3-X6	THOI	0.001642608642578125	0.2	0.30000000000000004
X1-X4-X5-X6	GCMI	1.3136651524803255e-06	0.2	0.30000000000000004
X1-X4-X5-X6	NPEET	0.5642788855090313	0.2	0.30000000000000004
X1-X4-X5-X6	THOI	-7.2479248046875e-06	0.2	0.30000000000000004
X2-X3-X6	GCMI	0.002349916649932915	0.2	0.30000000000000004
X2-X3-X6	NPEET	-0.009625855949019702	0.2	0.30000000000000004
X2-X3-X6	THOI	0.0016513824462890624	0.2	0.30000000000000004
X4-X5-X6	GCMI	-6.088060597875256e-07	0.2	0.30000000000000004
X4-X5-X6	NPEET	0.35389055271364195	0.2	0.30000000000000004
X4-X5-X6	THOI	-8.96453857421875e-06	0.2	0.30000000000000004
X1-X2-X3-X6	GCMI	0.0033286172074866727	0.2	0.4
X1-X2-X3-X6	NPEET	-0.018355568394863297	0.2	0.4
X1-X2-X3-X6	THOI	0.0023476600646972655	0.2	0.4
X1-X4-X5-X6	GCMI	7.075109500931375e-07	0.2	0.4
X1-X4-X5-X6	NPEET	0.5444361315239021	0.2	0.4
X1-X4-X5-X6	THOI	2.9754638671875e-05	0.2	0.4
X2-X3-X6	GCMI	0.0033498488571099827	0.2	0.4
X2-X3-X6	NPEET	-0.013044664096327808	0.2	0.4
X2-X3-X6	THOI	0.0023591041564941405	0.2	0.4
X4-X5-X6	GCMI	6.119329334808298e-07	0.2	0.4
X4-X5-X6	NPEET	0.31841574243583537	0.2	0.4
X4-X5-X6	THOI	2.689361572265625e-05	0.2	0.4
X1-X2-X3-X6	GCMI	0.00467126550601975	0.2	0.5
X1-X2-X3-X6	NPEET	0.007979243857781171	0.2	0.5
X1-X2-X3-X6	THOI	0.003263378143310547	0.2	0.5
X1-X4-X5-X6	GCMI	1.3395863867060598e-06	0.2	0.5
X1-X4-X5-X6	NPEET	0.5589112049343441	0.2	0.5
X1-X4-X5-X6	THOI	1.7452239990234376e-05	0.2	0.5
X2-X3-X6	GCMI	0.0046728908293028225	0.2	0.5
X2-X3-X6	NPEET	-0.04667240303788382	0.2	0.5
X2-X3-X6	THOI	0.003265666961669922	0.2	0.5
X4-X5-X6	GCMI	-5.64788383172754e-08	0.2	0.5
X4-X5-X6	NPEET	0.3347049409176558	0.2	0.5
X4-X5-X6	THOI	1.5544891357421876e-05	0.2	0.5
X1-X2-X3-X6	GCMI	0.006516854353760948	0.2	0.6
X1-X2-X3-X6	NPEET	-0.0670279391103847	0.2	0.6
X1-X2-X3-X6	THOI	0.0045501708984375	0.2	0.6
