n-plet	method	O-information	alpha	beta	gamma
X1-X2-X3-X4-X5-X6	THOI	4.101143646240234	0.1	0.5	0.1
Z00-Z01-X1-X2-X3	GCMI	2.925027652025256	0.1	0.5	0.1
Z00-Z01-X1-X2-X3	NPEET	2.2847132851271357	0.1	0.5	0.1
Z00-Z01-X1-X2-X3	THOI	2.027474355697632	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	4.35021409030864	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	3.761943186849816	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4	THOI	3.0153376340866087	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	6.302779146768953	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	5.392446150609329	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	4.368753266334534	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	8.282907190432095	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	7.052467798480085	0.1	0.5	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	5.741273832321167	0.1	0.5	0.1
X1-X2-X3	GCMI	1.4669231381946457	0.1	0.6	0.1
X1-X2-X3	NPEET	1.032759759655932	0.1	0.6	0.1
X1-X2-X3	THOI	1.0167935013771057	0.1	0.6	0.1
X1-X2-X3-X4	GCMI	2.936373244502242	0.1	0.6	0.1
X1-X2-X3-X4	NPEET	2.181730821709302	0.1	0.6	0.1
X1-X2-X3-X4	THOI	2.035338521003723	0.1	0.6	0.1
X1-X2-X3-X4-X5	GCMI	4.924835558639304	0.1	0.6	0.1
X1-X2-X3-X4-X5	NPEET	3.7356615120363044	0.1	0.6	0.1
X1-X2-X3-X4-X5	THOI	3.413635492324829	0.1	0.6	0.1
X1-X2-X3-X4-X5-X6	GCMI	6.826016441201595	0.1	0.6	0.1
X1-X2-X3-X4-X5-X6	NPEET	5.23674564812759	0.1	0.6	0.1
X1-X2-X3-X4-X5-X6	THOI	4.731433844566345	0.1	0.6	0.1
Z00-Z01-X1-X2-X3	GCMI	3.404596120866843	0.1	0.6	0.1
Z00-Z01-X1-X2-X3	NPEET	2.6529374815687374	0.1	0.6	0.1
Z00-Z01-X1-X2-X3	THOI	2.3598854303359986	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	5.017325971580967	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	4.305878299968318	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4	THOI	3.4777441740036013	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	7.218482111227752	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	6.125300465583054	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	5.003469514846802	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	9.452261326091442	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	7.953857653334606	0.1	0.6	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	6.5518065929412845	0.1	0.6	0.1
X1-X2-X3	GCMI	1.6650124453010349	0.1	0.7	0.1
X1-X2-X3	NPEET	1.173714250830067	0.1	0.7	0.1
X1-X2-X3	THOI	1.1540986895561218	0.1	0.7	0.1
X1-X2-X3-X4	GCMI	3.3205102762821364	0.1	0.7	0.1
X1-X2-X3-X4	NPEET	2.4567028087258227	0.1	0.7	0.1
X1-X2-X3-X4	THOI	2.3016022205352784	0.1	0.7	0.1
X1-X2-X3-X4-X5	GCMI	5.513849714156946	0.1	0.7	0.1
X1-X2-X3-X4-X5	NPEET	4.1573244647746606	0.1	0.7	0.1
X1-X2-X3-X4-X5	THOI	3.821909046173096	0.1	0.7	0.1
X1-X2-X3-X4-X5-X6	GCMI	7.627940294832378	0.1	0.7	0.1
X1-X2-X3-X4-X5-X6	NPEET	5.80373309885015	0.1	0.7	0.1
X1-X2-X3-X4-X5-X6	THOI	5.287285161018372	0.1	0.7	0.1
Z00-Z01-X1-X2-X3	GCMI	3.813723004645495	0.1	0.7	0.1
Z00-Z01-X1-X2-X3	NPEET	2.9614534392315113	0.1	0.7	0.1
Z00-Z01-X1-X2-X3	THOI	2.643469762802124	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	5.6095239456237485	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	4.771551159590713	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4	THOI	3.8882248401641846	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	8.022634520356153	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	6.752310102052819	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	5.560865569114685	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	10.469814219599836	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	8.745590244582687	0.1	0.7	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	7.257121276855469	0.1	0.7	0.1
X1-X2-X3	GCMI	1.8431819604629816	0.1	0.8	0.1
X1-X2-X3	NPEET	1.3021107964892167	0.1	0.8	0.1
X1-X2-X3	THOI	1.2775965571403503	0.1	0.8	0.1
X1-X2-X3-X4	GCMI	3.6628126351147805	0.1	0.8	0.1
X1-X2-X3-X4	NPEET	2.7186097866721886	0.1	0.8	0.1
X1-X2-X3-X4	THOI	2.5388678908348083	0.1	0.8	0.1
X1-X2-X3-X4-X5	GCMI	6.03915844664914	0.1	0.8	0.1
X1-X2-X3-X4-X5	NPEET	4.54649058882397	0.1	0.8	0.1
X1-X2-X3-X4-X5	THOI	4.186025071144104	0.1	0.8	0.1
X1-X2-X3-X4-X5-X6	GCMI	8.337131449444746	0.1	0.8	0.1
X1-X2-X3-X4-X5-X6	NPEET	6.323352190500476	0.1	0.8	0.1
X1-X2-X3-X4-X5-X6	THOI	5.77885868549347	0.1	0.8	0.1
Z00-Z01-X1-X2-X3	GCMI	4.180267539192377	0.1	0.8	0.1
Z00-Z01-X1-X2-X3	NPEET	3.25963712671363	0.1	0.8	0.1
Z00-Z01-X1-X2-X3	THOI	2.897539234161377	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	6.138572223173904	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	5.212690791077684	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4	THOI	4.254933190345764	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	8.728785049395222	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	7.33676980572246	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	6.05033061504364	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	11.358090436653939	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	9.462136847894248	0.1	0.8	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	7.8728244543075565	0.1	0.8	0.1
X1-X2-X3	GCMI	2.001298111088289	0.1	0.9	0.1
X1-X2-X3	NPEET	1.4088563051123604	0.1	0.9	0.1
X1-X2-X3	THOI	1.3871944010257722	0.1	0.9	0.1
X1-X2-X3-X4	GCMI	3.961430526300314	0.1	0.9	0.1
X1-X2-X3-X4	NPEET	2.9325616261626095	0.1	0.9	0.1
X1-X2-X3-X4	THOI	2.745853900909424	0.1	0.9	0.1
X1-X2-X3-X4-X5	GCMI	6.499619656668034	0.1	0.9	0.1
X1-X2-X3-X4-X5	NPEET	4.872725397640497	0.1	0.9	0.1
X1-X2-X3-X4-X5	THOI	4.505192041397095	0.1	0.9	0.1
X1-X2-X3-X4-X5-X6	GCMI	8.968237467627382	0.1	0.9	0.1
X1-X2-X3-X4-X5-X6	NPEET	6.787326712361806	0.1	0.9	0.1
X1-X2-X3-X4-X5-X6	THOI	6.216307544708252	0.1	0.9	0.1
Z00-Z01-X1-X2-X3	GCMI	4.500674215438398	0.1	0.9	0.1
