n-plet	method	O-information	alpha	beta	gamma
Z00-Z01-X1-X2-X3-X4	JDIT	1.9944012497463384	0.2	0.9	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	4.126946747994548	0.2	0.9	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	8.066633140845452	0.2	0.9	0.10000000149011612
X1-X2-X3	JDIT	1.0600746766085345	0.2	1.0	0.10000000149011612
X1-X2-X3-X4	JDIT	2.183376323618651	0.2	1.0	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	3.9941684383973133	0.2	1.0	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	5.576865997989489	0.2	1.0	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	1.0600741427548501	0.2	1.0	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	2.1833762612204524	0.2	1.0	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	4.406151607459937	0.2	1.0	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	8.52846149466277	0.2	1.0	0.10000000149011612
X1-X2-X3	JDIT	0.2184520914743393	0.3	0.1	0.10000000149011612
X1-X2-X3-X4	JDIT	0.5124191822371168	0.3	0.1	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	1.0778690833118496	0.3	0.1	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	1.2984059743340353	0.3	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.21845317892445143	0.3	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	0.5124194590771406	0.3	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	2.305015178199723	0.3	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	2.801758625155495	0.3	0.1	0.10000000149011612
X1-X2-X3	JDIT	0.09573716296888131	0.3	0.2	0.10000000149011612
X1-X2-X3-X4	JDIT	0.3742447235792365	0.3	0.2	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	1.0437181744014317	0.3	0.2	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	1.356801605098231	0.3	0.2	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.09573701258431325	0.3	0.2	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	0.3742450746239019	0.3	0.2	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	2.0578584814747853	0.3	0.2	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	3.3336557713267587	0.3	0.2	0.10000000149011612
X1-X2-X3	JDIT	0.1014959846891675	0.3	0.3	0.10000000149011612
X1-X2-X3-X4	JDIT	0.4225021441111127	0.3	0.3	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	1.2741976714438785	0.3	0.3	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	1.7823885067561096	0.3	0.3	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.10149587229443431	0.3	0.3	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	0.4225034920869266	0.3	0.3	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	2.187768282904514	0.3	0.3	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	4.125155168368342	0.3	0.3	0.10000000149011612
X1-X2-X3	JDIT	0.1762379045369402	0.3	0.4	0.10000000149011612
X1-X2-X3-X4	JDIT	0.5721969356912567	0.3	0.4	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	1.5967906695779832	0.3	0.4	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	2.291315485703696	0.3	0.4	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.17623727440101494	0.3	0.4	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	0.5721976691445336	0.3	0.4	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	2.456983859909649	0.3	0.4	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	4.901509640606806	0.3	0.4	0.10000000149011612
X1-X2-X3	JDIT	0.2615041012709184	0.3	0.5	0.10000000149011612
X1-X2-X3-X4	JDIT	0.7335067828634718	0.3	0.5	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	1.9143182427001402	0.3	0.5	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	2.782171508617299	0.3	0.5	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.26150401802817835	0.3	0.5	0.10000000149011612
