n-plet	method	alpha	beta	O-information
X1-X2-Z_syn-Z_red	JDIT	0.03	0.97	3.7123710515481263
X1-X2-Z_syn	JDIT	0.03	0.98	-0.06754192896710119
X1-X2-Z_syn-Z_red	JDIT	0.03	0.98	3.7154993580737887
X1-X2-Z_syn	JDIT	0.03	0.99	-0.06660975821778581
X1-X2-Z_syn-Z_red	JDIT	0.03	0.99	3.719946267009567
X1-X2-Z_syn	JDIT	0.04	0.01	-2.1424630027770424
X1-X2-Z_syn-Z_red	JDIT	0.04	0.01	0.4573692546500928
X1-X2-Z_syn	JDIT	0.04	0.02	-2.358905922129623
X1-X2-Z_syn-Z_red	JDIT	0.04	0.02	0.4488843434475854
X1-X2-Z_syn	JDIT	0.04	0.03	-2.34438068611414
X1-X2-Z_syn-Z_red	JDIT	0.04	0.03	0.5860111061147049
X1-X2-Z_syn	JDIT	0.04	0.04	-2.256496698443079
X1-X2-Z_syn-Z_red	JDIT	0.04	0.04	0.75439825075706
X1-X2-Z_syn	JDIT	0.04	0.05	-2.1521403294676054
X1-X2-Z_syn-Z_red	JDIT	0.04	0.05	0.9175788955796037
X1-X2-Z_syn	JDIT	0.04	0.06	-2.0463592336605756
X1-X2-Z_syn-Z_red	JDIT	0.04	0.06	1.0608570777910897
X1-X2-Z_syn	JDIT	0.04	0.07	-1.9453863683494563
X1-X2-Z_syn-Z_red	JDIT	0.04	0.07	1.1900086807051236
X1-X2-Z_syn	JDIT	0.04	0.08	-1.847475151892029
X1-X2-Z_syn-Z_red	JDIT	0.04	0.08	1.309516030096693
X1-X2-Z_syn	JDIT	0.04	0.09	-1.7597977809096286
X1-X2-Z_syn-Z_red	JDIT	0.04	0.09	1.4140866933848533
X1-X2-Z_syn	JDIT	0.04	0.1	-1.6756733593750812
X1-X2-Z_syn-Z_red	JDIT	0.04	0.1	1.5112414672563768
X1-X2-Z_syn	JDIT	0.04	0.2	-1.103900407902109
X1-X2-Z_syn-Z_red	JDIT	0.04	0.2	2.159907111352491
X1-X2-Z_syn	JDIT	0.04	0.3	-0.7818234099334945
X1-X2-Z_syn-Z_red	JDIT	0.04	0.3	2.5349947283852248
X1-X2-Z_syn	JDIT	0.04	0.4	-0.5791205193232563
X1-X2-Z_syn-Z_red	JDIT	0.04	0.4	2.795306333796891
X1-X2-Z_syn	JDIT	0.04	0.5	-0.4380553644821303
X1-X2-Z_syn-Z_red	JDIT	0.04	0.5	3.0011227442753103
X1-X2-Z_syn	JDIT	0.04	0.6	-0.33725834528202675
X1-X2-Z_syn-Z_red	JDIT	0.04	0.6	3.170427645003062
X1-X2-Z_syn	JDIT	0.04	0.7	-0.2647204442705623
X1-X2-Z_syn-Z_red	JDIT	0.04	0.7	3.3070210030852794
