n-plet	method	alpha	beta	O-information
X1-X2-Z_syn-Z_red	JDIT	0.6	0.01	0.6364074575959805
X1-X2-Z_syn	JDIT	0.6	0.02	-0.9971901209716003
X1-X2-Z_syn-Z_red	JDIT	0.6	0.02	0.621954712858873
X1-X2-Z_syn	JDIT	0.6	0.03	-1.2215256594231707
X1-X2-Z_syn-Z_red	JDIT	0.6	0.03	0.6113087542203293
X1-X2-Z_syn	JDIT	0.6	0.04	-1.3841029219986603
X1-X2-Z_syn-Z_red	JDIT	0.6	0.04	0.6039823728256821
X1-X2-Z_syn	JDIT	0.6	0.05	-1.5170382154735074
X1-X2-Z_syn-Z_red	JDIT	0.6	0.05	0.5871955630451303
X1-X2-Z_syn	JDIT	0.6	0.06	-1.6241435059326093
X1-X2-Z_syn-Z_red	JDIT	0.6	0.06	0.5758437919801127
X1-X2-Z_syn	JDIT	0.6	0.07	-1.7174414210373743
X1-X2-Z_syn-Z_red	JDIT	0.6	0.07	0.5599072840841284
X1-X2-Z_syn	JDIT	0.6	0.08	-1.795314769224012
X1-X2-Z_syn-Z_red	JDIT	0.6	0.08	0.5411919827460949
X1-X2-Z_syn	JDIT	0.6	0.09	-1.8682720608783097
X1-X2-Z_syn-Z_red	JDIT	0.6	0.09	0.5232018206377567
X1-X2-Z_syn	JDIT	0.6	0.1	-1.9278578532195794
X1-X2-Z_syn-Z_red	JDIT	0.6	0.1	0.5107680437103091
X1-X2-Z_syn	JDIT	0.6	0.2	-2.263041637623038
X1-X2-Z_syn-Z_red	JDIT	0.6	0.2	0.42601765103525624
X1-X2-Z_syn	JDIT	0.6	0.3	-2.3596060409418897
X1-X2-Z_syn-Z_red	JDIT	0.6	0.3	0.4471667974314844
X1-X2-Z_syn	JDIT	0.6	0.4	-2.3610474993678983
X1-X2-Z_syn-Z_red	JDIT	0.6	0.4	0.5329858787911834
X1-X2-Z_syn	JDIT	0.6	0.5	-2.3192506274231532
X1-X2-Z_syn-Z_red	JDIT	0.6	0.5	0.6420848472337057
X1-X2-Z_syn	JDIT	0.6	0.6	-2.2590512203801136
X1-X2-Z_syn-Z_red	JDIT	0.6	0.6	0.7508936360165565
X1-X2-Z_syn	JDIT	0.6	0.7	-2.1907426747535648
X1-X2-Z_syn-Z_red	JDIT	0.6	0.7	0.8606930766162499
X1-X2-Z_syn	JDIT	0.6	0.8	-2.1148294264022076
X1-X2-Z_syn-Z_red	JDIT	0.6	0.8	0.9675733939725232
X1-X2-Z_syn	JDIT	0.6	0.9	-2.0470505455198635
X1-X2-Z_syn-Z_red	JDIT	0.6	0.9	1.0594414430181884
X1-X2-Z_syn	JDIT	0.6	0.91	-2.0352849145116467
X1-X2-Z_syn-Z_red	JDIT	0.6	0.91	1.075026582159682
X1-X2-Z_syn	JDIT	0.6	0.92	-2.0325657862225777
X1-X2-Z_syn-Z_red	JDIT	0.6	0.92	1.0775846554836133
X1-X2-Z_syn	JDIT	0.6	0.93	-2.0239733343677466
X1-X2-Z_syn-Z_red	JDIT	0.6	0.93	1.0906318137186424
X1-X2-Z_syn	JDIT	0.6	0.94	-2.017322641760614
X1-X2-Z_syn-Z_red	JDIT	0.6	0.94	1.1002882809953247
X1-X2-Z_syn	JDIT	0.6	0.95	-2.014418535677445
X1-X2-Z_syn-Z_red	JDIT	0.6	0.95	1.1003700345509295
X1-X2-Z_syn	JDIT	0.6	0.96	-2.005221765949349
X1-X2-Z_syn-Z_red	JDIT	0.6	0.96	1.112347829089583
X1-X2-Z_syn	JDIT	0.6	0.97	-1.997876471713426
X1-X2-Z_syn-Z_red	JDIT	0.6	0.97	1.1213784593133471
X1-X2-Z_syn	JDIT	0.6	0.98	-1.996390387210473
X1-X2-Z_syn-Z_red	JDIT	0.6	0.98	1.1253099425225752
X1-X2-Z_syn	JDIT	0.6	0.99	-1.9880349878968921
X1-X2-Z_syn-Z_red	JDIT	0.6	0.99	1.1369011166724907
X1-X2-Z_syn	JDIT	0.7	0.01	-0.5713158237502467
X1-X2-Z_syn-Z_red	JDIT	0.7	0.01	0.6423645023889913
X1-X2-Z_syn	JDIT	0.7	0.02	-0.9184574668828172
X1-X2-Z_syn-Z_red	JDIT	0.7	0.02	0.6227786555800121
X1-X2-Z_syn	JDIT	0.7	0.03	-1.1374758964200005
X1-X2-Z_syn-Z_red	JDIT	0.7	0.03	0.6154963001306951
X1-X2-Z_syn	JDIT	0.7	0.04	-1.2955098203701314
X1-X2-Z_syn-Z_red	JDIT	0.7	0.04	0.6078404077314222
X1-X2-Z_syn	JDIT	0.7	0.05	-1.4240811063032788
X1-X2-Z_syn-Z_red	JDIT	0.7	0.05	0.5960653248247854
X1-X2-Z_syn	JDIT	0.7	0.06	-1.5370967832333062
X1-X2-Z_syn-Z_red	JDIT	0.7	0.06	0.5874594547930118
X1-X2-Z_syn	JDIT	0.7	0.07	-1.6249697823647569
X1-X2-Z_syn-Z_red	JDIT	0.7	0.07	0.57264406030538
X1-X2-Z_syn	JDIT	0.7	0.08	-1.7041216673905974
X1-X2-Z_syn-Z_red	JDIT	0.7	0.08	0.5620868858452238
X1-X2-Z_syn	JDIT	0.7	0.09	-1.7739233869189324
X1-X2-Z_syn-Z_red	JDIT	0.7	0.09	0.5490424109109162
X1-X2-Z_syn	JDIT	0.7	0.1	-1.833854546419774
X1-X2-Z_syn-Z_red	JDIT	0.7	0.1	0.5313422147174243
X1-X2-Z_syn	JDIT	0.7	0.2	-2.204521846747447
X1-X2-Z_syn-Z_red	JDIT	0.7	0.2	0.43495683621619374
X1-X2-Z_syn	JDIT	0.7	0.3	-2.335001871443196
X1-X2-Z_syn-Z_red	JDIT	0.7	0.3	0.42807126268570117
X1-X2-Z_syn	JDIT	0.7	0.4	-2.3665300001869767
X1-X2-Z_syn-Z_red	JDIT	0.7	0.4	0.4822921250860298
X1-X2-Z_syn	JDIT	0.7	0.5	-2.354215329322642
X1-X2-Z_syn-Z_red	JDIT	0.7	0.5	0.5610310595507253
X1-X2-Z_syn	JDIT	0.7	0.6	-2.309443867839713
X1-X2-Z_syn-Z_red	JDIT	0.7	0.6	0.6621283266286175
X1-X2-Z_syn	JDIT	0.7	0.7	-2.2581841983708926
X1-X2-Z_syn-Z_red	JDIT	0.7	0.7	0.7553191132794435
X1-X2-Z_syn	JDIT	0.7	0.8	-2.1977728624605706
X1-X2-Z_syn-Z_red	JDIT	0.7	0.8	0.8483363566860973
X1-X2-Z_syn	JDIT	0.7	0.9	-2.1398537584636683
X1-X2-Z_syn-Z_red	JDIT	0.7	0.9	0.9329536640318701
X1-X2-Z_syn	JDIT	0.7	0.91	-2.1335466621063373
X1-X2-Z_syn-Z_red	JDIT	0.7	0.91	0.9413467502387652
X1-X2-Z_syn	JDIT	0.7	0.92	-2.1223639684829303
X1-X2-Z_syn-Z_red	JDIT	0.7	0.92	0.9564844434490398
X1-X2-Z_syn	JDIT	0.7	0.93	-2.121565965637557
X1-X2-Z_syn-Z_red	JDIT	0.7	0.93	0.9583848425130412
X1-X2-Z_syn	JDIT	0.7	0.94	-2.1119783779508046
X1-X2-Z_syn-Z_red	JDIT	0.7	0.94	0.9722017209303676
X1-X2-Z_syn	JDIT	0.7	0.95	-2.107340389062794
X1-X2-Z_syn-Z_red	JDIT	0.7	0.95	0.9785002081955148
X1-X2-Z_syn	JDIT	0.7	0.96	-2.103771241021547
X1-X2-Z_syn-Z_red	JDIT	0.7	0.96	0.983089083534801
X1-X2-Z_syn	JDIT	0.7	0.97	-2.09620420296468
X1-X2-Z_syn-Z_red	JDIT	0.7	0.97	0.9947357887546096
X1-X2-Z_syn	JDIT	0.7	0.98	-2.087115882289473
X1-X2-Z_syn-Z_red	JDIT	0.7	0.98	1.007371724770461
X1-X2-Z_syn	JDIT	0.7	0.99	-2.084350198847405
X1-X2-Z_syn-Z_red	JDIT	0.7	0.99	1.0097814303913544
X1-X2-Z_syn	JDIT	0.8	0.01	-0.5049438687578262
X1-X2-Z_syn-Z_red	JDIT	0.8	0.01	0.6489612850370797
X1-X2-Z_syn	JDIT	0.8	0.02	-0.8457202569544238
X1-X2-Z_syn-Z_red	JDIT	0.8	0.02	0.6247946895493582
X1-X2-Z_syn	JDIT	0.8	0.03	-1.060677729456234
X1-X2-Z_syn-Z_red	JDIT	0.8	0.03	0.6217191671489479
X1-X2-Z_syn	JDIT	0.8	0.04	-1.2210894731002802
X1-X2-Z_syn-Z_red	JDIT	0.8	0.04	0.6134091298265887
X1-X2-Z_syn	JDIT	0.8	0.05	-1.3449457640127436
X1-X2-Z_syn-Z_red	JDIT	0.8	0.05	0.6057779285089231
X1-X2-Z_syn	JDIT	0.8	0.06	-1.4543395851313963
X1-X2-Z_syn-Z_red	JDIT	0.8	0.06	0.5912934142627678
X1-X2-Z_syn	JDIT	0.8	0.07	-1.5429704135032472
X1-X2-Z_syn-Z_red	JDIT	0.8	0.07	0.5851363681220665
X1-X2-Z_syn	JDIT	0.8	0.08	-1.6244561171694696
X1-X2-Z_syn-Z_red	JDIT	0.8	0.08	0.5738015600005416
X1-X2-Z_syn	JDIT	0.8	0.09	-1.6978409121291862
X1-X2-Z_syn-Z_red	JDIT	0.8	0.09	0.5611029236754297
X1-X2-Z_syn	JDIT	0.8	0.1	-1.7589378155919593
X1-X2-Z_syn-Z_red	JDIT	0.8	0.1	0.5506819149395122
X1-X2-Z_syn	JDIT	0.8	0.2	-2.1414571457889946
X1-X2-Z_syn-Z_red	JDIT	0.8	0.2	0.4558853279827712
X1-X2-Z_syn	JDIT	0.8	0.3	-2.3015000493327986
X1-X2-Z_syn-Z_red	JDIT	0.8	0.3	0.41785488669659926
X1-X2-Z_syn	JDIT	0.8	0.4	-2.358458112085252
X1-X2-Z_syn-Z_red	JDIT	0.8	0.4	0.44990636568037556
X1-X2-Z_syn	JDIT	0.8	0.5	-2.369435103249505
X1-X2-Z_syn-Z_red	JDIT	0.8	0.5	0.5038132951064183
X1-X2-Z_syn	JDIT	0.8	0.6	-2.3472758966427323
X1-X2-Z_syn-Z_red	JDIT	0.8	0.6	0.5826761413975667
X1-X2-Z_syn	JDIT	0.8	0.7	-2.3048628816252767
X1-X2-Z_syn-Z_red	JDIT	0.8	0.7	0.6717972750734826
X1-X2-Z_syn	JDIT	0.8	0.8	-2.2558575721253464
X1-X2-Z_syn-Z_red	JDIT	0.8	0.8	0.7568268871425309
X1-X2-Z_syn	JDIT	0.8	0.9	-2.206751517161571
X1-X2-Z_syn-Z_red	JDIT	0.8	0.9	0.8343126461062491
X1-X2-Z_syn	JDIT	0.8	0.91	-2.201870992592297
X1-X2-Z_syn-Z_red	JDIT	0.8	0.91	0.8434367360443135
X1-X2-Z_syn	JDIT	0.8	0.92	-2.1940850856306744
X1-X2-Z_syn-Z_red	JDIT	0.8	0.92	0.8532115307802417
X1-X2-Z_syn	JDIT	0.8	0.93	-2.189715151166401
X1-X2-Z_syn-Z_red	JDIT	0.8	0.93	0.8605525740605492
X1-X2-Z_syn	JDIT	0.8	0.94	-2.1792437648318206
X1-X2-Z_syn-Z_red	JDIT	0.8	0.94	0.8771269934019508
X1-X2-Z_syn	JDIT	0.8	0.95	-2.178121087190804
X1-X2-Z_syn-Z_red	JDIT	0.8	0.95	0.87736085091079
X1-X2-Z_syn	JDIT	0.8	0.96	-2.171614077505873
X1-X2-Z_syn-Z_red	JDIT	0.8	0.96	0.8864694460856241
X1-X2-Z_syn	JDIT	0.8	0.97	-2.1691136313350214
X1-X2-Z_syn-Z_red	JDIT	0.8	0.97	0.8929291265254662
X1-X2-Z_syn	JDIT	0.8	0.98	-2.162940642830082
X1-X2-Z_syn-Z_red	JDIT	0.8	0.98	0.8986669087624222
X1-X2-Z_syn	JDIT	0.8	0.99	-2.15903912254302
X1-X2-Z_syn-Z_red	JDIT	0.8	0.99	0.907277041084255
X1-X2-Z_syn	JDIT	0.9	0.01	-0.44880490224952396
X1-X2-Z_syn-Z_red	JDIT	0.9	0.01	0.6569495370602177
X1-X2-Z_syn	JDIT	0.9	0.02	-0.7894542743501826
X1-X2-Z_syn-Z_red	JDIT	0.9	0.02	0.6269946625000096
X1-X2-Z_syn	JDIT	0.9	0.03	-1.0000890902129669
X1-X2-Z_syn-Z_red	JDIT	0.9	0.03	0.622131862693261
X1-X2-Z_syn	JDIT	0.9	0.04	-1.1573339914518335
X1-X2-Z_syn-Z_red	JDIT	0.9	0.04	0.6155459874018006
X1-X2-Z_syn	JDIT	0.9	0.05	-1.2817840718297886
X1-X2-Z_syn-Z_red	JDIT	0.9	0.05	0.6106545445411714
X1-X2-Z_syn	JDIT	0.9	0.06	-1.381354617337669
X1-X2-Z_syn-Z_red	JDIT	0.9	0.06	0.6045596179811783
X1-X2-Z_syn	JDIT	0.9	0.07	-1.472000897897828
X1-X2-Z_syn-Z_red	JDIT	0.9	0.07	0.5957256022256583
X1-X2-Z_syn	JDIT	0.9	0.08	-1.5552153669641364
X1-X2-Z_syn-Z_red	JDIT	0.9	0.08	0.5845212979718727
X1-X2-Z_syn	JDIT	0.9	0.09	-1.6223279215632018
X1-X2-Z_syn-Z_red	JDIT	0.9	0.09	0.5760649093888769
X1-X2-Z_syn	JDIT	0.9	0.1	-1.6849150283805845
X1-X2-Z_syn-Z_red	JDIT	0.9	0.1	0.5689996552287757
X1-X2-Z_syn	JDIT	0.9	0.2	-2.0863444421935817
X1-X2-Z_syn-Z_red	JDIT	0.9	0.2	0.4674189025639663
X1-X2-Z_syn	JDIT	0.9	0.3	-2.2630063223403023
X1-X2-Z_syn-Z_red	JDIT	0.9	0.3	0.424616450967251
X1-X2-Z_syn	JDIT	0.9	0.4	-2.342895833932781
X1-X2-Z_syn-Z_red	JDIT	0.9	0.4	0.428491858829815
X1-X2-Z_syn	JDIT	0.9	0.5	-2.3650212520658718
X1-X2-Z_syn-Z_red	JDIT	0.9	0.5	0.47368831642777626
X1-X2-Z_syn	JDIT	0.9	0.6	-2.3611973972523908
X1-X2-Z_syn-Z_red	JDIT	0.9	0.6	0.5349840235161042
X1-X2-Z_syn	JDIT	0.9	0.7	-2.3374799730548768
X1-X2-Z_syn-Z_red	JDIT	0.9	0.7	0.6035680074562361
X1-X2-Z_syn	JDIT	0.9	0.8	-2.3000992648419465
X1-X2-Z_syn-Z_red	JDIT	0.9	0.8	0.6817753658358492
X1-X2-Z_syn	JDIT	0.9	0.9	-2.2565132225482447
X1-X2-Z_syn-Z_red	JDIT	0.9	0.9	0.7553836698562508
X1-X2-Z_syn	JDIT	0.9	0.91	-2.2520563010068537
X1-X2-Z_syn-Z_red	JDIT	0.9	0.91	0.7631014612951332
X1-X2-Z_syn	JDIT	0.9	0.92	-2.248511108969022
X1-X2-Z_syn-Z_red	JDIT	0.9	0.92	0.765683458126466
X1-X2-Z_syn	JDIT	0.9	0.93	-2.247570234703333
X1-X2-Z_syn-Z_red	JDIT	0.9	0.93	0.7705823203368217
X1-X2-Z_syn	JDIT	0.9	0.94	-2.2397947583240736
X1-X2-Z_syn-Z_red	JDIT	0.9	0.94	0.7826158451907339
X1-X2-Z_syn	JDIT	0.9	0.95	-2.2345712005430256
X1-X2-Z_syn-Z_red	JDIT	0.9	0.95	0.7927102112861787
X1-X2-Z_syn	JDIT	0.9	0.96	-2.2306958914531076
X1-X2-Z_syn-Z_red	JDIT	0.9	0.96	0.8027431145714651
X1-X2-Z_syn	JDIT	0.9	0.97	-2.2290934894009324
X1-X2-Z_syn-Z_red	JDIT	0.9	0.97	0.802152740956512
X1-X2-Z_syn	JDIT	0.9	0.98	-2.2228644400340603
X1-X2-Z_syn-Z_red	JDIT	0.9	0.98	0.8117738832662837
X1-X2-Z_syn	JDIT	0.9	0.99	-2.2151606620337825
X1-X2-Z_syn-Z_red	JDIT	0.9	0.99	0.8267860445603503
X1-X2-Z_syn	JDIT	0.91	0.01	-0.44170690380514505
X1-X2-Z_syn-Z_red	JDIT	0.91	0.01	0.653857199504192
X1-X2-Z_syn	JDIT	0.91	0.02	-0.7802040512134889
X1-X2-Z_syn-Z_red	JDIT	0.91	0.02	0.6286781927130052
X1-X2-Z_syn	JDIT	0.91	0.03	-0.9913854280348305
X1-X2-Z_syn-Z_red	JDIT	0.91	0.03	0.6233721602985944
X1-X2-Z_syn	JDIT	0.91	0.04	-1.1503364593781225
X1-X2-Z_syn-Z_red	JDIT	0.91	0.04	0.6134494602630529
X1-X2-Z_syn	JDIT	0.91	0.05	-1.271474060756105
X1-X2-Z_syn-Z_red	JDIT	0.91	0.05	0.6092564632990796
X1-X2-Z_syn	JDIT	0.91	0.06	-1.3803403169704807
X1-X2-Z_syn-Z_red	JDIT	0.91	0.06	0.5999812246742587
X1-X2-Z_syn	JDIT	0.91	0.07	-1.4686751947499634
X1-X2-Z_syn-Z_red	JDIT	0.91	0.07	0.5938522816580063
X1-X2-Z_syn	JDIT	0.91	0.08	-1.5459852341618932
X1-X2-Z_syn-Z_red	JDIT	0.91	0.08	0.5849804481629015
X1-X2-Z_syn	JDIT	0.91	0.09	-1.6215840111469386
X1-X2-Z_syn-Z_red	JDIT	0.91	0.09	0.5739495018546845
X1-X2-Z_syn	JDIT	0.91	0.1	-1.6833123306674396
X1-X2-Z_syn-Z_red	JDIT	0.91	0.1	0.5657200133326585
X1-X2-Z_syn	JDIT	0.91	0.2	-2.078530378734975
X1-X2-Z_syn-Z_red	JDIT	0.91	0.2	0.47064574836431755
X1-X2-Z_syn	JDIT	0.91	0.3	-2.2570574719054384
X1-X2-Z_syn-Z_red	JDIT	0.91	0.3	0.4246080802779029
X1-X2-Z_syn	JDIT	0.91	0.4	-2.3394505073904517
X1-X2-Z_syn-Z_red	JDIT	0.91	0.4	0.4297933164428397
X1-X2-Z_syn	JDIT	0.91	0.5	-2.3681397616743247
X1-X2-Z_syn-Z_red	JDIT	0.91	0.5	0.46730390075956574
X1-X2-Z_syn	JDIT	0.91	0.6	-2.3610783163662696
X1-X2-Z_syn-Z_red	JDIT	0.91	0.6	0.5308158716336411
X1-X2-Z_syn	JDIT	0.91	0.7	-2.3365890481670255
X1-X2-Z_syn-Z_red	JDIT	0.91	0.7	0.6013251970601827
X1-X2-Z_syn	JDIT	0.91	0.8	-2.3057553311425805
X1-X2-Z_syn-Z_red	JDIT	0.91	0.8	0.6685339032157815
X1-X2-Z_syn	JDIT	0.91	0.9	-2.262655798805639
X1-X2-Z_syn-Z_red	JDIT	0.91	0.9	0.7481402908437682
X1-X2-Z_syn	JDIT	0.91	0.91	-2.2561652073236815
X1-X2-Z_syn-Z_red	JDIT	0.91	0.91	0.7574516084645855
X1-X2-Z_syn	JDIT	0.91	0.92	-2.2555183521047035
X1-X2-Z_syn-Z_red	JDIT	0.91	0.92	0.7596879405311596
X1-X2-Z_syn	JDIT	0.91	0.93	-2.2468786417278315
X1-X2-Z_syn-Z_red	JDIT	0.91	0.93	0.7736364206798555
X1-X2-Z_syn	JDIT	0.91	0.94	-2.241923162137532
X1-X2-Z_syn-Z_red	JDIT	0.91	0.94	0.7779662463817919
X1-X2-Z_syn	JDIT	0.91	0.95	-2.2408530157178563
X1-X2-Z_syn-Z_red	JDIT	0.91	0.95	0.7825436639366192
X1-X2-Z_syn	JDIT	0.91	0.96	-2.2355225731519996
X1-X2-Z_syn-Z_red	JDIT	0.91	0.96	0.7908304524553953
X1-X2-Z_syn	JDIT	0.91	0.97	-2.2331819911572146
X1-X2-Z_syn-Z_red	JDIT	0.91	0.97	0.7955988303473289
X1-X2-Z_syn	JDIT	0.91	0.98	-2.2275121828199036
X1-X2-Z_syn-Z_red	JDIT	0.91	0.98	0.8016404834716427
X1-X2-Z_syn	JDIT	0.91	0.99	-2.221023671681292
X1-X2-Z_syn-Z_red	JDIT	0.91	0.99	0.8135855939174578
X1-X2-Z_syn	JDIT	0.92	0.01	-0.43999794302731343
X1-X2-Z_syn-Z_red	JDIT	0.92	0.01	0.6570277339903496
X1-X2-Z_syn	JDIT	0.92	0.02	-0.7788255630827925
X1-X2-Z_syn-Z_red	JDIT	0.92	0.02	0.627860123776821
X1-X2-Z_syn	JDIT	0.92	0.03	-0.985872122568189
X1-X2-Z_syn-Z_red	JDIT	0.92	0.03	0.6225743688294452
X1-X2-Z_syn	JDIT	0.92	0.04	-1.140794986280912
X1-X2-Z_syn-Z_red	JDIT	0.92	0.04	0.6161257740624768
X1-X2-Z_syn	JDIT	0.92	0.05	-1.2701137566837528
X1-X2-Z_syn-Z_red	JDIT	0.92	0.05	0.608275911779774
X1-X2-Z_syn	JDIT	0.92	0.06	-1.370662978049179
X1-X2-Z_syn-Z_red	JDIT	0.92	0.06	0.603291055492934
X1-X2-Z_syn	JDIT	0.92	0.07	-1.4629421612703273
X1-X2-Z_syn-Z_red	JDIT	0.92	0.07	0.5953423997797359
X1-X2-Z_syn	JDIT	0.92	0.08	-1.541600771353362
X1-X2-Z_syn-Z_red	JDIT	0.92	0.08	0.5853689408316745
X1-X2-Z_syn	JDIT	0.92	0.09	-1.616440504894625
X1-X2-Z_syn-Z_red	JDIT	0.92	0.09	0.5744814365392201
X1-X2-Z_syn	JDIT	0.92	0.1	-1.6713536153722934
X1-X2-Z_syn-Z_red	JDIT	0.92	0.1	0.566392345321122
X1-X2-Z_syn	JDIT	0.92	0.2	-2.0716574611096847
X1-X2-Z_syn-Z_red	JDIT	0.92	0.2	0.47445216346561
X1-X2-Z_syn	JDIT	0.92	0.3	-2.251599357752599
X1-X2-Z_syn-Z_red	JDIT	0.92	0.3	0.4269519589652221
X1-X2-Z_syn	JDIT	0.92	0.4	-2.3388391964216426
X1-X2-Z_syn-Z_red	JDIT	0.92	0.4	0.42574432455270816
X1-X2-Z_syn	JDIT	0.92	0.5	-2.3647278806259227
X1-X2-Z_syn-Z_red	JDIT	0.92	0.5	0.4659361751312332
X1-X2-Z_syn	JDIT	0.92	0.6	-2.362618636420241
X1-X2-Z_syn-Z_red	JDIT	0.92	0.6	0.5259030450732428
X1-X2-Z_syn	JDIT	0.92	0.7	-2.336758436122151
X1-X2-Z_syn-Z_red	JDIT	0.92	0.7	0.602375010718154
X1-X2-Z_syn	JDIT	0.92	0.8	-2.307309156760016
X1-X2-Z_syn-Z_red	JDIT	0.92	0.8	0.6694392821820816
X1-X2-Z_syn	JDIT	0.92	0.9	-2.2662597426006093
X1-X2-Z_syn-Z_red	JDIT	0.92	0.9	0.7407985293730562
X1-X2-Z_syn	JDIT	0.92	0.91	-2.260086968148228
X1-X2-Z_syn-Z_red	JDIT	0.92	0.91	0.7482150000116183
X1-X2-Z_syn	JDIT	0.92	0.92	-2.253968502775467
X1-X2-Z_syn-Z_red	JDIT	0.92	0.92	0.7632142037565959
X1-X2-Z_syn	JDIT	0.92	0.93	-2.2515639682178223
X1-X2-Z_syn-Z_red	JDIT	0.92	0.93	0.7649809024425228
X1-X2-Z_syn	JDIT	0.92	0.94	-2.2500852645357146
X1-X2-Z_syn-Z_red	JDIT	0.92	0.94	0.7668711239517563
X1-X2-Z_syn	JDIT	0.92	0.95	-2.246887181342106
X1-X2-Z_syn-Z_red	JDIT	0.92	0.95	0.7723934636685923
X1-X2-Z_syn	JDIT	0.92	0.96	-2.2389176711269396
X1-X2-Z_syn-Z_red	JDIT	0.92	0.96	0.7863842111313878
X1-X2-Z_syn	JDIT	0.92	0.97	-2.2319472282367547
X1-X2-Z_syn-Z_red	JDIT	0.92	0.97	0.7951802043300805
X1-X2-Z_syn	JDIT	0.92	0.98	-2.2328825810810415
X1-X2-Z_syn-Z_red	JDIT	0.92	0.98	0.7973653792008827
X1-X2-Z_syn	JDIT	0.92	0.99	-2.2248708969705566
X1-X2-Z_syn-Z_red	JDIT	0.92	0.99	0.8089589490001359
X1-X2-Z_syn	JDIT	0.93	0.01	-0.43263091455327196
X1-X2-Z_syn-Z_red	JDIT	0.93	0.01	0.6575955674962961
X1-X2-Z_syn	JDIT	0.93	0.02	-0.7742451898718917
X1-X2-Z_syn-Z_red	JDIT	0.93	0.02	0.629957291598588
X1-X2-Z_syn	JDIT	0.93	0.03	-0.9814010719803343
X1-X2-Z_syn-Z_red	JDIT	0.93	0.03	0.62152429013561
X1-X2-Z_syn	JDIT	0.93	0.04	-1.1346587748589205
X1-X2-Z_syn-Z_red	JDIT	0.93	0.04	0.6164136184944802
X1-X2-Z_syn	JDIT	0.93	0.05	-1.2572418628376754
X1-X2-Z_syn-Z_red	JDIT	0.93	0.05	0.6146131808396669
X1-X2-Z_syn	JDIT	0.93	0.06	-1.3635664289178813
X1-X2-Z_syn-Z_red	JDIT	0.93	0.06	0.6028903317337508
X1-X2-Z_syn	JDIT	0.93	0.07	-1.457192331602918
X1-X2-Z_syn-Z_red	JDIT	0.93	0.07	0.5940003385287641
X1-X2-Z_syn	JDIT	0.93	0.08	-1.5348397297777925
X1-X2-Z_syn-Z_red	JDIT	0.93	0.08	0.5884549814135465
X1-X2-Z_syn	JDIT	0.93	0.09	-1.6030859130790023
X1-X2-Z_syn-Z_red	JDIT	0.93	0.09	0.5775548004947133
X1-X2-Z_syn	JDIT	0.93	0.1	-1.6666523996918752
X1-X2-Z_syn-Z_red	JDIT	0.93	0.1	0.5645682854782661
X1-X2-Z_syn	JDIT	0.93	0.2	-2.0707807857139513
X1-X2-Z_syn-Z_red	JDIT	0.93	0.2	0.46914450622215254
X1-X2-Z_syn	JDIT	0.93	0.3	-2.248843844848158
X1-X2-Z_syn-Z_red	JDIT	0.93	0.3	0.4258603533445111
X1-X2-Z_syn	JDIT	0.93	0.4	-2.333593483142714
X1-X2-Z_syn-Z_red	JDIT	0.93	0.4	0.4257101827106542
X1-X2-Z_syn	JDIT	0.93	0.5	-2.361694172130835
X1-X2-Z_syn-Z_red	JDIT	0.93	0.5	0.46983567515062064
X1-X2-Z_syn	JDIT	0.93	0.6	-2.362034657340143
X1-X2-Z_syn-Z_red	JDIT	0.93	0.6	0.5233803051031753
X1-X2-Z_syn	JDIT	0.93	0.7	-2.3437264454684534
X1-X2-Z_syn-Z_red	JDIT	0.93	0.7	0.5904441025006383
X1-X2-Z_syn	JDIT	0.93	0.8	-2.3099959512188497
X1-X2-Z_syn-Z_red	JDIT	0.93	0.8	0.6593512157076902
X1-X2-Z_syn	JDIT	0.93	0.9	-2.273915263418994
X1-X2-Z_syn-Z_red	JDIT	0.93	0.9	0.7280410309349105
X1-X2-Z_syn	JDIT	0.93	0.91	-2.267904534221688
X1-X2-Z_syn-Z_red	JDIT	0.93	0.91	0.7381853556901039
X1-X2-Z_syn	JDIT	0.93	0.92	-2.2596690135386703
X1-X2-Z_syn-Z_red	JDIT	0.93	0.92	0.7507111211214805
X1-X2-Z_syn	JDIT	0.93	0.93	-2.258323543956134
X1-X2-Z_syn-Z_red	JDIT	0.93	0.93	0.7540664117417868
X1-X2-Z_syn	JDIT	0.93	0.94	-2.2509127671553477
X1-X2-Z_syn-Z_red	JDIT	0.93	0.94	0.7666370450649143
X1-X2-Z_syn	JDIT	0.93	0.95	-2.247400575425612
X1-X2-Z_syn-Z_red	JDIT	0.93	0.95	0.7691406888265135
X1-X2-Z_syn	JDIT	0.93	0.96	-2.2429249109728424
X1-X2-Z_syn-Z_red	JDIT	0.93	0.96	0.7811507659471858
X1-X2-Z_syn	JDIT	0.93	0.97	-2.2403242421058254
X1-X2-Z_syn-Z_red	JDIT	0.93	0.97	0.7835814514374693
X1-X2-Z_syn	JDIT	0.93	0.98	-2.240564817416327
X1-X2-Z_syn-Z_red	JDIT	0.93	0.98	0.7812211178906823
X1-X2-Z_syn	JDIT	0.93	0.99	-2.235844725584475
X1-X2-Z_syn-Z_red	JDIT	0.93	0.99	0.7911409528962272
X1-X2-Z_syn	JDIT	0.94	0.01	-0.4274307587149296
X1-X2-Z_syn-Z_red	JDIT	0.94	0.01	0.656952178032282
X1-X2-Z_syn	JDIT	0.94	0.02	-0.7660334713478927
