n_variables	n_samples	real_entropy	gcmi_entropy	npeet_entropy
3	15	4.184050232016752	6.588590884955743	5.647319166979146
3	100	4.184050232016752	5.814961183779069	5.789454110755361
3	150	4.184050232016752	6.023499795887818	5.862890107584475
3	1000	4.184050232016752	5.902231704796683	5.938162001486407
3	1500	4.184050232016752	6.0015564533495676	5.940922860726722
3	10000	4.184050232016752	6.035924026483421	5.9338307901985115
3	15000	4.184050232016752	6.013678883534495	5.9291380911207305
3	100000	4.184050232016752	6.0234668687754205	5.934421354810395
3	150000	4.184050232016752	6.029151907821979	5.9336841243270735
3	1000000	4.184050232016752	6.032671231670203	5.933734143382913
3	1500000	4.184050232016752	6.033545751464207	5.933688400916233
3	10	4.483127590308272	7.520570150952736	4.886935056369231
3	15	4.483127590308272	5.762158298425439	5.307913918748614
3	100	4.483127590308272	6.20608351965961	5.4816055366805365
3	150	4.483127590308272	6.4515173573113636	5.464489523488756
3	1000	4.483127590308272	6.474158840692602	5.4376669772384885
3	1500	4.483127590308272	6.495550336666816	5.441162727185996
3	10000	4.483127590308272	6.438147786936926	5.4674675723373465
3	15000	4.483127590308272	6.449583018203738	5.470136420211805
3	100000	4.483127590308272	6.4627995325916405	5.475814728725138
3	150000	4.483127590308272	6.4582882401532995	5.485621576958536
3	1000000	4.483127590308272	6.466311016781506	5.477672342112134
3	1500000	4.483127590308272	6.466930744448467	5.47886105800681
3	10	4.52281573217759	7.764923157122955	5.687281826619981
3	15	4.52281573217759	6.101591038464366	5.782407059235439
3	100	4.52281573217759	6.601909327524966	5.934653983597562
3	150	4.52281573217759	6.610127747066725	5.710826010075816
3	1000	4.52281573217759	6.305511411166237	5.873179322425503
3	1500	4.52281573217759	6.407954245258159	5.932099719520592
3	10000	4.52281573217759	6.5111648281547945	5.930828176556679
3	15000	4.52281573217759	6.46377566570548	5.940938098467644
3	100000	4.52281573217759	6.51240540668872	5.946332226916431
3	150000	4.52281573217759	6.510635034106482	5.943036957501648
3	1000000	4.52281573217759	6.525100947135814	5.942234880472347
3	1500000	4.52281573217759	6.523957503213172	5.939759564555937
3	10	3.5039492166483606	4.810908202308867	4.620017750527754
3	15	3.5039492166483606	5.236906272214337	5.395019272585316
3	100	3.5039492166483606	5.048981522168163	4.61161322565504
3	150	3.5039492166483606	4.876248004209708	4.569648864450028
3	1000	3.5039492166483606	4.923776087423856	4.846231305184901
3	1500	3.5039492166483606	5.01515361489692	4.768277461875595
3	10000	3.5039492166483606	5.004793948378338	4.794564739011103
3	15000	3.5039492166483606	5.010076661439395	4.814089846106316
3	100000	3.5039492166483606	5.053353769263431	4.789587790359123
3	150000	3.5039492166483606	5.037250607920781	4.783175087359068
3	1000000	3.5039492166483606	5.052971412955857	4.793276366553718
3	1500000	3.5039492166483606	5.054139465129504	4.791149266691814
3	10	3.421013881607088	6.575322079757275	5.384050983442943
3	15	3.421013881607088	6.012096988157804	5.228369268174939
3	100	3.421013881607088	4.937109596609534	5.441109170140846
3	150	3.421013881607088	4.6841881349302374	5.76379563427229
3	1000	3.421013881607088	4.870675796506919	5.607499140374518
3	1500	3.421013881607088	4.963649818670159	5.580353696265236
3	10000	3.421013881607088	4.886426159422057	5.6299500615757925
3	15000	3.421013881607088	4.884423906186038	5.625501077442979
3	100000	3.421013881607088	4.922505451472739	5.632125425526712
3	150000	3.421013881607088	4.926356291421192	5.639266519907968
3	1000000	3.421013881607088	4.932250632732711	5.637341402118424
3	1500000	3.421013881607088	4.934890944422299	5.637044997414067
3	10	4.030563179107874	7.0365103513377205	4.227916682988181
3	15	4.030563179107874	4.986758680486449	4.511208792901453
3	100	4.030563179107874	5.962046127653273	4.799630692175562
3	150	4.030563179107874	5.7546735845849994	5.145513137722553
3	1000	4.030563179107874	5.724991579151791	5.071884051720475
3	1500	4.030563179107874	5.715355288067446	5.123192022324011
3	10000	4.030563179107874	5.814717839548632	5.064527870877031
3	15000	4.030563179107874	5.810285771197093	5.066401410063241
3	100000	4.030563179107874	5.802500324209351	5.0668059252711455
3	150000	4.030563179107874	5.813462226569249	5.077332270898239
3	1000000	4.030563179107874	5.808842170517622	5.070514799497396
3	1500000	4.030563179107874	5.812445530911078	5.0722207853431565
3	10	4.4875090609613455	7.287102497673174	4.789477734467994
