sample size	iteration	time
30000	77	4750.0
30000	78	4796.0
30000	79	4590.0
30000	80	4758.0
30000	81	4869.0
30000	82	4491.0
30000	83	4579.0
30000	84	4681.0
30000	85	4358.0
30000	86	4691.0
30000	87	4757.0
30000	88	4600.0
30000	89	4628.0
30000	90	4766.0
30000	91	4539.0
30000	92	4878.0
30000	93	4556.0
30000	94	4400.0
30000	95	4655.0
30000	96	4728.0
30000	97	4412.0
30000	98	4749.0
30000	99	4652.0
35000	0	5801.0
35000	1	5622.0
35000	2	5781.0
35000	3	5806.0
35000	4	5909.0
35000	5	5921.0
35000	6	6012.0
35000	7	5546.0
35000	8	5852.0
35000	9	5864.0
35000	10	5919.0
35000	11	5606.0
35000	12	5988.0
35000	13	5883.0
35000	14	5613.0
35000	15	5800.0
35000	16	5788.0
35000	17	6301.0
35000	18	5972.0
35000	19	5689.0
35000	20	5619.0
35000	21	5848.0
35000	22	6031.0
35000	23	5861.0
35000	24	5328.0
35000	25	5791.0
35000	26	5896.0
35000	27	5766.0
35000	28	5956.0
35000	29	5667.0
35000	30	5508.0
35000	31	5853.0
35000	32	5727.0
35000	33	5712.0
35000	34	5485.0
35000	35	5440.0
35000	36	5509.0
35000	37	5528.0
35000	38	5863.0
35000	39	5437.0
35000	40	5747.0
35000	41	5800.0
35000	42	5642.0
35000	43	5903.0
35000	44	6020.0
35000	45	6179.0
35000	46	5981.0
35000	47	5959.0
35000	48	5808.0
35000	49	5904.0
35000	50	5992.0
35000	51	6038.0
35000	52	6040.0
35000	53	5695.0
35000	54	5679.0
35000	55	5825.0
35000	56	6139.0
35000	57	5635.0
35000	58	5770.0
35000	59	5694.0
35000	60	5718.0
35000	61	5911.0
35000	62	6002.0
35000	63	5851.0
35000	64	6614.0
35000	65	5932.0
35000	66	5772.0
35000	67	6239.0
35000	68	6293.0
35000	69	6493.0
35000	70	5723.0
35000	71	6116.0
35000	72	6039.0
35000	73	6104.0
35000	74	6006.0
35000	75	5427.0
35000	76	5367.0
35000	77	6019.0
35000	78	5675.0
35000	79	5997.0
35000	80	5642.0
35000	81	5259.0
35000	82	5691.0
35000	83	5851.0
35000	84	5731.0
35000	85	5976.0
35000	86	5841.0
35000	87	5550.0
35000	88	5768.0
35000	89	5744.0
35000	90	5947.0
35000	91	5883.0
35000	92	5530.0
35000	93	5783.0
35000	94	5811.0
35000	95	5827.0
35000	96	5995.0
35000	97	5880.0
35000	98	5777.0
35000	99	5727.0
40000	0	7130.0
40000	1	6904.0
40000	2	7093.0
40000	3	6970.0
40000	4	7091.0
40000	5	6697.0
40000	6	6849.0
40000	7	7082.0
40000	8	7081.0
40000	9	6791.0
40000	10	6643.0
40000	11	7791.0
40000	12	7227.0
40000	13	6936.0
40000	14	7259.0
40000	15	7264.0
40000	16	7143.0
40000	17	7163.0
40000	18	7521.0
40000	19	6848.0
40000	20	7175.0
40000	21	7095.0
40000	22	7384.0
40000	23	7536.0
40000	24	7138.0
40000	25	6884.0
40000	26	7537.0
40000	27	7274.0
40000	28	7401.0
40000	29	7167.0
40000	30	6993.0
40000	31	7193.0
40000	32	7030.0
40000	33	7057.0
40000	34	7047.0
40000	35	7076.0
40000	36	7313.0
40000	37	7165.0
40000	38	7516.0
40000	39	6918.0
40000	40	7390.0
40000	41	7294.0
40000	42	7275.0
40000	43	7192.0
40000	44	7228.0
40000	45	7389.0
40000	46	6923.0
40000	47	6925.0
40000	48	6902.0
40000	49	6684.0
40000	50	7161.0
40000	51	7209.0
40000	52	7097.0
40000	53	7303.0
40000	54	7158.0
40000	55	7272.0
40000	56	7004.0
40000	57	7096.0
40000	58	7390.0
40000	59	7093.0
40000	60	7074.0
40000	61	7042.0
40000	62	7166.0
40000	63	7100.0
40000	64	7087.0
40000	65	7161.0
40000	66	7068.0
40000	67	7304.0
40000	68	6808.0
40000	69	7065.0
40000	70	6779.0
40000	71	7207.0
40000	72	7156.0
40000	73	7305.0
40000	74	6766.0
40000	75	6707.0
40000	76	7140.0
40000	77	6894.0
40000	78	7211.0
40000	79	7119.0
40000	80	7208.0
40000	81	6793.0
40000	82	7214.0
40000	83	6487.0
40000	84	6815.0
40000	85	6926.0
40000	86	7058.0
40000	87	7252.0
40000	88	7323.0
40000	89	6902.0
40000	90	7089.0
40000	91	6779.0
40000	92	7040.0
40000	93	7456.0
40000	94	6920.0
40000	95	7067.0
40000	96	7422.0
40000	97	7106.0
40000	98	6909.0
40000	99	7200.0
45000	0	8472.0
45000	1	8776.0
45000	2	8357.0
45000	3	8225.0
45000	4	7949.0
45000	5	8481.0
45000	6	8245.0
45000	7	8246.0
45000	8	8635.0
45000	9	8263.0
45000	10	8474.0
45000	11	8515.0
45000	12	8550.0
45000	13	8556.0
45000	14	8145.0
45000	15	8556.0
45000	16	8539.0
45000	17	8575.0
45000	18	8572.0
45000	19	8490.0
45000	20	8326.0
45000	21	8531.0
45000	22	8606.0
45000	23	8183.0
45000	24	7965.0
45000	25	8213.0
45000	26	8576.0
45000	27	8546.0
45000	28	8373.0
45000	29	8574.0
45000	30	8418.0
45000	31	8322.0
45000	32	8373.0
45000	33	8432.0
45000	34	8744.0
45000	35	8480.0
45000	36	8292.0
45000	37	8569.0
45000	38	8505.0
45000	39	8515.0
45000	40	8532.0
45000	41	8270.0
45000	42	8417.0
45000	43	8575.0
45000	44	8512.0
45000	45	8614.0
45000	46	8183.0
45000	47	8628.0
45000	48	8611.0
45000	49	8557.0
45000	50	8559.0
45000	51	8263.0
45000	52	7992.0
45000	53	8690.0
45000	54	8498.0
45000	55	7730.0
45000	56	8663.0
45000	57	8155.0
45000	58	8463.0
45000	59	8316.0
45000	60	8541.0
45000	61	8585.0
45000	62	8802.0
45000	63	8445.0
45000	64	8361.0
45000	65	8562.0
45000	66	8530.0
45000	67	8280.0
45000	68	8301.0
45000	69	8353.0
45000	70	8633.0
45000	71	8592.0
45000	72	8550.0
45000	73	8090.0
45000	74	8420.0
45000	75	8177.0
45000	76	8537.0
45000	77	8546.0
45000	78	8466.0
45000	79	8361.0
45000	80	8470.0
45000	81	8542.0
45000	82	8534.0
45000	83	7993.0
45000	84	8523.0
45000	85	8637.0
45000	86	8591.0
45000	87	8336.0
45000	88	8567.0
45000	89	8690.0
45000	90	8422.0
45000	91	8552.0
45000	92	8516.0
45000	93	8550.0
45000	94	8513.0
45000	95	8466.0
45000	96	8693.0
45000	97	8513.0
45000	98	8119.0
45000	99	8594.0
50000	0	10311.0
50000	1	9619.0
50000	2	10437.0
50000	3	10309.0
50000	4	10474.0
50000	5	10192.0
50000	6	9604.0
50000	7	9967.0
50000	8	9501.0
50000	9	10279.0
50000	10	10639.0
50000	11	10030.0
50000	12	10265.0
50000	13	9982.0
50000	14	9740.0
50000	15	9797.0
50000	16	9143.0
50000	17	9815.0
50000	18	9979.0
50000	19	9441.0
50000	20	9516.0
50000	21	9530.0
50000	22	9315.0
50000	23	9436.0
50000	24	9268.0
50000	25	9372.0
50000	26	9731.0
50000	27	9737.0
50000	28	9280.0
50000	29	9451.0
50000	30	9923.0
50000	31	9623.0
50000	32	9704.0
50000	33	9391.0
50000	34	9875.0
50000	35	9446.0
50000	36	9662.0
50000	37	9747.0
50000	38	9880.0
50000	39	9235.0
50000	40	9583.0
50000	41	9665.0
50000	42	9703.0
50000	43	9583.0
50000	44	9330.0
50000	45	9678.0
50000	46	9684.0
50000	47	9403.0
50000	48	9265.0
50000	49	9437.0
