library	estimator	T	N	batch_size	order	time
THOI	GC	1000	15	600000	5	0.08051300048828125
THOI	GC	1000	15	600000	6	0.1439809799194336
THOI	GC	1000	15	600000	7	0.12671256065368652
THOI	GC	1000	15	600000	8	0.13135552406311035
THOI	GC	1000	15	600000	9	0.11004042625427246
THOI	GC	1000	15	600000	10	0.08563971519470215
THOI	GC	1000	15	600000	11	0.06082749366760254
THOI	GC	1000	15	600000	12	0.04773879051208496
THOI	GC	1000	15	600000	13	0.040988922119140625
THOI	GC	1000	15	600000	14	0.03816962242126465
THOI	GC	1000	15	700000	3	0.04933667182922363
THOI	GC	1000	15	700000	4	0.06245851516723633
THOI	GC	1000	15	700000	5	0.11248612403869629
THOI	GC	1000	15	700000	6	0.11317920684814453
THOI	GC	1000	15	700000	7	0.1322174072265625
THOI	GC	1000	15	700000	8	0.1381676197052002
THOI	GC	1000	15	700000	9	0.11817479133605957
THOI	GC	1000	15	700000	10	0.12717771530151367
THOI	GC	1000	15	700000	11	0.06851530075073242
THOI	GC	1000	15	700000	12	0.061762332916259766
THOI	GC	1000	15	700000	13	0.04603934288024902
THOI	GC	1000	15	700000	14	0.04473686218261719
THOI	GC	1000	15	800000	3	0.054137468338012695
THOI	GC	1000	15	800000	4	0.06907272338867188
THOI	GC	1000	15	800000	5	0.08982563018798828
THOI	GC	1000	15	800000	6	0.11707663536071777
THOI	GC	1000	15	800000	7	0.13960957527160645
THOI	GC	1000	15	800000	8	0.14098191261291504
THOI	GC	1000	15	800000	9	0.15860223770141602
THOI	GC	1000	15	800000	10	0.09824395179748535
THOI	GC	1000	15	800000	11	0.0760343074798584
THOI	GC	1000	15	800000	12	0.05864715576171875
THOI	GC	1000	15	800000	13	0.05466175079345703
THOI	GC	1000	15	800000	14	0.049826860427856445
THOI	GC	1000	15	900000	3	0.06098580360412598
THOI	GC	1000	15	900000	4	0.0733797550201416
THOI	GC	1000	15	900000	5	0.10031270980834961
THOI	GC	1000	15	900000	6	0.12785983085632324
THOI	GC	1000	15	900000	7	0.14886713027954102
THOI	GC	1000	15	900000	8	0.1842036247253418
THOI	GC	1000	15	900000	9	0.13172292709350586
THOI	GC	1000	15	900000	10	0.1046450138092041
THOI	GC	1000	15	900000	11	0.0794823169708252
THOI	GC	1000	15	900000	12	0.06437802314758301
THOI	GC	1000	15	900000	13	0.058061838150024414
THOI	GC	1000	15	900000	14	0.0560910701751709
THOI	GC	1000	15	1000000	3	0.06742644309997559
THOI	GC	1000	15	1000000	4	0.08054161071777344
THOI	GC	1000	15	1000000	5	0.10674428939819336
THOI	GC	1000	15	1000000	6	0.1302049160003662
THOI	GC	1000	15	1000000	7	0.18530774116516113
THOI	GC	1000	15	1000000	8	0.1520695686340332
THOI	GC	1000	15	1000000	9	0.13994479179382324
THOI	GC	1000	15	1000000	10	0.10955166816711426
THOI	GC	1000	15	1000000	11	0.0840151309967041
THOI	GC	1000	15	1000000	12	0.0709841251373291
THOI	GC	1000	15	1000000	13	0.062456369400024414
THOI	GC	1000	15	1000000	14	0.061698198318481445
THOI	GC	1000	20	100000	3	0.024830341339111328
THOI	GC	1000	20	100000	4	0.07195448875427246
THOI	GC	1000	20	100000	5	0.24301362037658691
THOI	GC	1000	20	100000	6	0.6365418434143066
THOI	GC	1000	20	100000	7	1.2727093696594238
THOI	GC	1000	20	100000	8	1.7792198657989502
THOI	GC	1000	20	100000	9	1.9127113819122314
THOI	GC	1000	20	100000	10	2.039673328399658
THOI	GC	1000	20	100000	11	2.2911152839660645
THOI	GC	1000	20	100000	12	2.3525896072387695
THOI	GC	1000	20	100000	13	2.030831813812256
THOI	GC	1000	20	100000	14	1.082974910736084
