n_variables	n_samples	real_entropy	gcmi_entropy	npeet_entropy
3	100000	4.02535169073515	4.070801272040951	6.140866547597993
3	150000	4.02535169073515	4.067734914908543	6.140980641431047
3	1000000	4.02535169073515	4.049482905326503	6.141237071155559
3	1500000	4.02535169073515	4.0442659731004	6.141253188342938
3	10	5.598421958998375	6.494614761118596	5.4463244632434415
3	15	5.598421958998375	5.965171098935526	5.723379549006764
3	100	5.598421958998375	6.052544062306791	6.006693250026768
3	150	5.598421958998375	5.839561193144368	6.029635261102723
3	1000	5.598421958998375	5.733875828015222	6.11959433347182
3	1500	5.598421958998375	5.710042000278796	6.1253779918396924
3	10000	5.598421958998375	5.677725931246444	6.138067165466167
3	15000	5.598421958998375	5.658795629995447	6.139243748179615
3	100000	5.598421958998375	5.632285630189204	6.140892783862926
3	150000	5.598421958998375	5.626652503947143	6.1410095293483575
3	1000000	5.598421958998375	5.613637085080207	6.141231354602255
3	1500000	5.598421958998375	5.611258750317262	6.1412517424161255
3	10	4.564348191467836	5.151385075686636	5.729812408639872
3	15	4.564348191467836	4.749293344681669	5.565156539904818
3	100	4.564348191467836	5.05428112090259	6.019553215879215
3	150	4.564348191467836	5.036890319525709	6.046308232341186
3	1000	4.564348191467836	4.698607505653436	6.117437943338071
3	1500	4.564348191467836	4.670372738858613	6.126447405613234
3	10000	4.564348191467836	4.637018876505719	6.138386335073935
3	15000	4.564348191467836	4.623213804887426	6.139165131742015
3	100000	4.564348191467836	4.593678365883834	6.140878502278861
3	150000	4.564348191467836	4.587641669861615	6.141008177028655
3	1000000	4.564348191467836	4.579343843161958	6.14123836315351
3	1500000	4.564348191467836	4.577265057793753	6.141253674883871
3	10	3.044522437723423	4.312572896098345	5.3432554118758455
3	15	3.044522437723423	3.8665669832827296	5.403501641044718
3	100	3.044522437723423	3.341784721415778	6.013834281837501
3	150	3.044522437723423	3.434957546869844	6.0303093372728025
3	1000	3.044522437723423	3.223660562060468	6.119353238606759
3	1500	3.044522437723423	3.2290829776579066	6.127008999663617
3	10000	3.044522437723423	3.132106584487964	6.13775970691898
3	15000	3.044522437723423	3.1224468858823684	6.138939289640461
3	100000	3.044522437723423	3.081823790105382	6.140877756823559
3	150000	3.044522437723423	3.0796307941068335	6.141014594965216
3	1000000	3.044522437723423	3.06302013846126	6.141233190519931
3	1500000	3.044522437723423	3.060832515692857	6.141252938539724
3	10	4.969813299576001	5.435190201127839	5.669460006592516
3	15	4.969813299576001	6.07877344497264	5.645258632279287
3	100	4.969813299576001	5.346717527311956	6.030487543303627
3	150	4.969813299576001	5.2846906406073195	6.0530169822586215
3	1000	4.969813299576001	5.105537204651965	6.1209714571492775
3	1500	4.969813299576001	5.116411907520086	6.1270252796572615
