n_variables	n_samples	real_entropy	real_o_information	npeet_entropy	gcmi_entropy	o_info_npeet	o_info_gcmi
3	15000	-1.9223969758652828	-0.023031110104012598	-6.805202587158828	3.657470513933477	-3.5484700687456456	-1.6797057000810485
3	100000	-1.9223969758652828	-0.023031110104012598	-7.748051471996554	3.6744290530186103	-4.508264881337205	-1.675675627865576
3	150000	-1.9223969758652828	-0.023031110104012598	-7.951803774054152	3.66042109322999	-4.711494617729025	-1.6824806950997524
3	1000000	-1.9223969758652828	-0.023031110104012598	-8.895642133024994	3.6596651630268404	-5.661262708686415	-1.6858869882245022
3	1500000	-1.9223969758652828	-0.023031110104012598	-9.102288942859692	3.6622963420696433	-5.859898648238795	-1.6830178194555634
3	10	-0.9374917427820457	-0.5622133350978797	-1.5495120376395528	4.1426951774140885	-0.3738466308330195	-1.0236492804729327
3	15	-0.9374917427820457	-0.5622133350978797	-1.6478454539288685	4.155875725317591	0.16325322236171624	-0.8864663854449768
3	100	-0.9374917427820457	-0.5622133350978797	-2.567372779282252	4.1055254641866785	-0.9181696824063605	-1.2915589117912205
3	150	-0.9374917427820457	-0.5622133350978797	-2.8948574004233976	4.096456820939596	-1.3128022460242335	-1.3696577305129196
3	1000	-0.9374917427820457	-0.5622133350978797	-3.9719593380539813	4.247043426140587	-2.208127169062104	-1.2925558780694848
3	1500	-0.9374917427820457	-0.5622133350978797	-4.2061200998891835	4.152962620022745	-2.4063584284400203	-1.391742684106056
3	10000	-0.9374917427820457	-0.5622133350978797	-5.111183525396035	4.065054014526006	-3.3924092102005954	-1.4867533097499503
3	15000	-0.9374917427820457	-0.5622133350978797	-5.335667405536547	4.107609912656183	-3.580750281444846	-1.4470768539690715
3	100000	-0.9374917427820457	-0.5622133350978797	-6.275092797465149	4.111184923476702	-4.546223469097084	-1.445443732775364
3	150000	-0.9374917427820457	-0.5622133350978797	-6.469136464617282	4.110634530311976	-4.743818255825767	-1.4460778458514882
3	1000000	-0.9374917427820457	-0.5622133350978797	-7.421832422157552	4.110275259995527	-5.692416294197296	-1.446630979578595
3	1500000	-0.9374917427820457	-0.5622133350978797	-7.624792753754667	4.10547628705907	-5.8993221991930245	-1.4511911677629863
3	10	-2.0933619536669905	-0.20436409615936646	-3.335966477880268	4.367724724824169	-1.1875432680686	-0.8392324314426434
3	15	-2.0933619536669905	-0.20436409615936646	-3.530718055772986	4.229114999091587	-0.4085521849133258	-0.9927189801251233
3	100	-2.0933619536669905	-0.20436409615936646	-4.4027369228863495	4.348631285082858	-1.0634582018908283	-0.9679531367321808
3	150	-2.0933619536669905	-0.20436409615936646	-5.099750161362985	3.8768453900587203	-1.381568311834072	-1.526687617478855
3	1000	-2.0933619536669905	-0.20436409615936646	-5.691030508492712	3.9334865584165177	-2.1865829118121614	-1.4127480062384095
3	1500	-2.0933619536669905	-0.20436409615936646	-5.891411827264593	4.040993426893308	-2.3724628252296753	-1.3520191144227232
3	10000	-2.0933619536669905	-0.20436409615936646	-6.868542054248506	3.9640833460221665	-3.327495992710096	-1.4247427323578346
3	15000	-2.0933619536669905	-0.20436409615936646	-7.083614814887518	3.932666577426408	-3.5305127093456115	-1.445019866489496
3	100000	-2.0933619536669905	-0.20436409615936646	-7.997053754132672	3.9835230539749933	-4.505358412637669	-1.417419580357567
3	150000	-2.0933619536669905	-0.20436409615936646	-8.210430227799353	3.9904759609209712	-4.692172171612862	-1.4064711969547048
3	1000000	-2.0933619536669905	-0.20436409615936646	-9.15724579079104	3.986906110305383	-5.647843765639124	-1.411115264346443
3	1500000	-2.0933619536669905	-0.20436409615936646	-9.358579532406578	3.9833480950112987	-5.849484866935155	-1.4149609725394008
3	10	-1.755354374406103	-0.14795780421699334	-2.523643937800581	3.879077499175635	-0.18932006647792132	-1.2703323913958866
3	15	-1.755354374406103	-0.14795780421699334	-4.086768037131128	4.459027455113139	-0.17204600703278805	-0.8384287229538687
3	100	-1.755354374406103	-0.14795780421699334	-4.010885069733575	3.903372249656015	-1.0155069929684633	-1.3903497696212943
