distribution	alpha	window	O-information	Total Correlation	Dual Total Correlation	S-information
hh_normal	0.8	2	-0.21121441016982473	0.5410345596549391	0.7522436403978202	1.2932833049571317
hh_normal	0.8	3	-0.20859775349750298	0.5498445166282053	0.7584423653947261	1.308285107905038
hh_normal	0.8	4	-0.1857549874426256	0.5258664278351333	0.7116215866677265	1.2374878593972403
hh_normal	0.8	5	-0.2159350507620318	0.5510609023578041	0.7669958748725693	1.3180568658973146
hh_normal	0.8	6	-0.17762558226923209	0.5339867693179414	0.7116124252791415	1.2455994921128994
hh_normal	0.8	7	-0.20072884177515918	0.5324638947003457	0.7331966040188517	1.2656564047647665
hh_normal	0.8	8	-0.20300397557723593	0.5451675044664874	0.7481715290970016	1.2933393162387525
hh_normal	0.8	9	-0.19525136121115574	0.537505337657052	0.7327551384849516	1.2702606300178794
hh_normal	0.9	0	-0.2837211287969006	0.639670258859514	0.923391345490326	1.5630615572669284
hh_normal	0.9	1	-0.2684085217548427	0.6131382593596122	0.8815462631590272	1.4946916359661355
hh_normal	0.9	2	-0.28141285995403387	0.6281566597699708	0.9095708743903448	1.537727364135607
hh_normal	0.9	3	-0.27937620769934496	0.6424530067373588	0.9218292929794409	1.564282147475907
hh_normal	0.9	4	-0.2798787863525283	0.6287552953670144	0.9086339331063188	1.5373891814852012
hh_normal	0.9	5	-0.2756462309661894	0.6216987505355327	0.8973450151133685	1.519043852363427
hh_normal	0.9	6	-0.2615847594539684	0.6228800898687794	0.8844647557081952	1.5073446028212758
hh_normal	0.9	7	-0.2686294735578324	0.6274034278366365	0.8960328858838003	1.523435917567356
hh_normal	0.9	8	-0.2674429541769636	0.6324634061373118	0.899906575915818	1.5323655674955234
hh_normal	0.9	9	-0.2940353362962461	0.6346808196324503	0.9287198887908147	1.563396794527133
hh_normal	1.0	0	-0.33743526183280426	0.6954317231158207	1.0328669559645973	1.728298763859919
hh_normal	1.0	1	-0.3505354053673008	0.7059361107028543	1.056471261180151	1.7624074822685518
hh_normal	1.0	2	-0.3368734479969138	0.7079035786554755	1.0447770938948213	1.7526809136698602
hh_normal	1.0	3	-0.32800112709339374	0.7003597110669375	1.0283608450613633	1.7287204535247849
hh_normal	1.0	4	-0.3304030145884261	0.6998778566440755	1.0302806850156154	1.7301582446033414
hh_normal	1.0	5	-0.34735311196994517	0.7197664214217099	1.0671192977892332	1.786885601722165
hh_normal	1.0	6	-0.3470211016283139	0.6970474908440067	1.0440684035255234	1.7411159874041642
hh_normal	1.0	7	-0.32949171204632777	0.6763376969374661	1.0058290301492236	1.68216616909089
hh_normal	1.0	8	-0.33086771198789194	0.6967087359763049	1.0275761904241416	1.724284839842344
hh_normal	1.0	9	-0.33494665296962467	0.7045935836266786	1.0395405707624232	1.7441342360160137
tt_normal	0.0	0	-0.011732520761557633	0.008750536275812237	0.020482707531017427	0.029228112577464688
tt_normal	0.0	1	-0.006441463887323758	0.004069495532981193	0.010510899923573827	0.014574988598195414
tt_normal	0.0	2	-7.693560486256726E-4	0.001868515871908727	0.002637871920531741	0.004506621042106953
tt_normal	0.0	3	2.1735841362864649E-4	-5.532114227939644E-4	-7.707234081711424E-4	-0.0013239999985918188
tt_normal	0.0	4	0.0072508332616524306	-0.005794159644011643	-0.013044949118940899	-0.01883872119509273
tt_normal	0.0	5	-0.011503804219745357	0.00678252424595982	0.018286160228610505	0.025068316519453057
tt_normal	0.0	6	0.0056861567178797985	-0.00661982115704518	-0.012305946334149699	-0.018925569274372393
tt_normal	0.0	7	0.024492141838785432	-0.013234011583925565	-0.03772615342271546	-0.05096009575456712
tt_normal	0.0	8	-0.005453544908127264	0.0015159295673363715	0.006969605251674041	0.008485541982983721
tt_normal	0.0	9	0.011204991342632852	-0.008315891820718235	-0.01952082620764866	-0.027836730888602577
tt_normal	0.1	0	-0.0023758881947561674	0.011285029325687645	0.013660695107939599	0.024945531368208443
tt_normal	0.1	1	-0.01622868720171593	0.02950426634257397	0.045732923056926666	0.0752372694781773
tt_normal	0.1	2	0.0026143615904285675	0.01766655029187092	0.01505214003963808	0.03271856611281701
tt_normal	0.1	3	-0.004342568524503326	0.012654290185381	0.016996788464077955	0.029651037015388994
tt_normal	0.1	4	-0.004241352740064432	0.016622178422561973	0.020863478084072486	0.037485335618321805
tt_normal	0.1	5	0.0029123969564530446	0.012317371642961206	0.009413274748505094	0.021722193998629232
tt_normal	0.1	6	0.0010544123396852277	0.014628328211866659	0.013573682305981893	0.028206222856345844
tt_normal	0.1	7	-0.012960849430812832	0.02553964321460711	0.03849292078940557	0.06403903092750576
tt_normal	0.1	8	0.007539870320129458	0.014702410849551484	0.007162502689548591	0.02186432504024128
